Term,Group,Kruskal-Wallis Statistic,Kruskal-Wallis p-value,Normality Results,Homogeneity Statistic,Homogeneity p-value,Post-hoc Results
BKe,Boundary Terms,567.8485122432044,2.0347903973165197e-118,"{'Total': (0.8682833295289943, 6.674340997132061e-60), 'incipient': (0.8602462523859977, 2.273746503277991e-53), 'intensification': (0.8639054114658644, 4.4268750130580103e-60), 'mature': (0.8825521393001757, 5.348727995234495e-51), 'decay': (0.8353012916904154, 3.0674708997708463e-63), 'intensification 2': (0.834998069457276, 1.8227471074998714e-23), 'mature 2': (0.8404373958746911, 5.883212748750002e-17), 'decay 2': (0.8275510865089328, 4.6484146006698253e-33)}",53.5218607493551,1.9157770368139895e-76,"{'dunn':               1             2             3             4             5             6             7             8
1  1.000000e+00  3.983116e-05  1.690212e-18  1.188671e-11  7.542882e-28  6.822195e-01  4.467552e-02  2.204895e-04
2  3.983116e-05  1.000000e+00  1.757003e-02  4.694417e-27  1.067480e-48  1.000000e+00  8.273951e-05  3.804254e-11
3  1.690212e-18  1.757003e-02  1.000000e+00  7.361664e-53  1.944878e-89  1.000000e+00  1.523772e-07  2.571659e-19
4  1.188671e-11  4.694417e-27  7.361664e-53  1.000000e+00  6.735642e-02  3.925887e-06  1.000000e+00  1.000000e+00
5  7.542882e-28  1.067480e-48  1.944878e-89  6.735642e-02  1.000000e+00  8.343897e-10  1.000000e+00  1.000000e+00
6  6.822195e-01  1.000000e+00  1.000000e+00  3.925887e-06  8.343897e-10  1.000000e+00  1.883534e-03  7.737413e-05
7  4.467552e-02  8.273951e-05  1.523772e-07  1.000000e+00  1.000000e+00  1.883534e-03  1.000000e+00  1.000000e+00
8  2.204895e-04  3.804254e-11  2.571659e-19  1.000000e+00  1.000000e+00  7.737413e-05  1.000000e+00  1.000000e+00}"
BΦZ,Boundary Terms,226.8691628715408,2.2954434038510597e-45,"{'Total': (0.9826180332095714, 4.705719506502333e-28), 'incipient': (0.9783153284169588, 6.735315074469775e-26), 'intensification': (0.9837744017299765, 6.4343139232460935e-27), 'mature': (0.966704080829061, 8.776139261797217e-32), 'decay': (0.9725033411843573, 1.551754052320099e-33), 'intensification 2': (0.9764072936463952, 9.09170953495415e-08), 'mature 2': (0.9497016520841279, 1.236994628699824e-08), 'decay 2': (0.9727842980525732, 1.1764205349344562e-13)}",72.7926746166669,5.331494118415356e-105,"{'dunn':               1             2             3             4             5         6         7             8
1  1.000000e+00  5.104992e-04  1.000000e+00  2.116137e-05  3.680383e-13  1.000000  1.000000  2.816568e-09
2  5.104992e-04  1.000000e+00  5.524475e-08  6.512489e-16  2.012987e-01  0.172375  0.864439  4.045217e-03
3  1.000000e+00  5.524475e-08  1.000000e+00  4.223777e-02  3.003253e-20  1.000000  1.000000  1.990611e-12
4  2.116137e-05  6.512489e-16  4.223777e-02  1.000000e+00  3.184339e-31  1.000000  1.000000  2.672554e-18
5  3.680383e-13  2.012987e-01  3.003253e-20  3.184339e-31  1.000000e+00  0.002161  0.062411  5.808387e-01
6  1.000000e+00  1.723748e-01  1.000000e+00  1.000000e+00  2.160748e-03  1.000000  1.000000  4.249090e-05
7  1.000000e+00  8.644390e-01  1.000000e+00  1.000000e+00  6.241120e-02  1.000000  1.000000  2.381664e-03
8  2.816568e-09  4.045217e-03  1.990611e-12  2.672554e-18  5.808387e-01  0.000042  0.002382  1.000000e+00}"
BΦE,Boundary Terms,196.32231392452408,6.894646933598863e-39,"{'Total': (0.9835461841493485, 2.305923191992766e-27), 'incipient': (0.9744305806259259, 6.488904926185317e-28), 'intensification': (0.9875639523050548, 9.87382239585283e-24), 'mature': (0.9749546540009527, 4.287069039649479e-28), 'decay': (0.9778822650456834, 1.38979208171304e-30), 'intensification 2': (0.9708603208589462, 5.1152100578824975e-09), 'mature 2': (0.9535164445807817, 3.524471979292162e-08), 'decay 2': (0.9842492634052104, 1.2120067711995717e-09)}",65.51454908740916,3.22654924108314e-94,"{'dunn':               1             2             3             4             5         6         7             8
1  1.000000e+00  1.000000e+00  1.584999e-01  3.924818e-04  3.718235e-13  1.000000  1.000000  7.429714e-07
2  1.000000e+00  1.000000e+00  7.025614e-02  2.239340e-04  4.339949e-09  1.000000  1.000000  1.084795e-05
3  1.584999e-01  7.025614e-02  1.000000e+00  1.000000e+00  7.134115e-24  1.000000  1.000000  5.704672e-11
4  3.924818e-04  2.239340e-04  1.000000e+00  1.000000e+00  3.472977e-28  1.000000  1.000000  9.624893e-14
5  3.718235e-13  4.339949e-09  7.134115e-24  3.472977e-28  1.000000e+00  0.004340  0.091487  1.000000e+00
6  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00  4.339716e-03  1.000000  1.000000  1.136447e-03
7  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00  9.148732e-02  1.000000  1.000000  2.063472e-02
8  7.429714e-07  1.084795e-05  5.704672e-11  9.624893e-14  1.000000e+00  0.001136  0.020635  1.000000e+00}"
Gz,Generation/Dissipation Terms,241.85512558942673,1.4981669505439122e-48,"{'Total': (0.9252980813490452, 9.912038294492417e-50), 'incipient': (0.9449747987358745, 2.410942524067947e-38), 'intensification': (0.9146909905085734, 1.2649707684962226e-51), 'mature': (0.9165338103586785, 2.5112974493927707e-45), 'decay': (0.8836224550320106, 1.0163755615969745e-56), 'intensification 2': (0.9495326957058525, 8.757079208168317e-13), 'mature 2': (0.9060986928378325, 9.563319633370356e-13), 'decay 2': (0.8787179996672273, 1.165386143598461e-28)}",226.79961236245435,0.0,"{'dunn':               1             2             3             4             5             6         7             8
1  1.000000e+00  8.153362e-07  2.047953e-03  1.000000e+00  5.594624e-12  2.833684e-02  1.000000  5.221409e-08
2  8.153362e-07  1.000000e+00  1.000000e+00  9.029548e-07  2.634595e-32  6.636098e-07  1.000000  6.644148e-18
3  2.047953e-03  1.000000e+00  1.000000e+00  1.457710e-03  8.077592e-28  3.831087e-05  1.000000  1.328582e-14
4  1.000000e+00  9.029548e-07  1.457710e-03  1.000000e+00  1.244792e-08  6.467381e-02  1.000000  6.743907e-07
5  5.594624e-12  2.634595e-32  8.077592e-28  1.244792e-08  1.000000e+00  1.000000e+00  0.058684  1.000000e+00
6  2.833684e-02  6.636098e-07  3.831087e-05  6.467381e-02  1.000000e+00  1.000000e+00  0.151617  1.000000e+00
7  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00  5.868393e-02  1.516169e-01  1.000000  3.822116e-03
8  5.221409e-08  6.644148e-18  1.328582e-14  6.743907e-07  1.000000e+00  1.000000e+00  0.003822  1.000000e+00}"
Ge,Generation/Dissipation Terms,2778.6974148951126,0.0,"{'Total': (0.8791472426664465, 2.6981269396931284e-58), 'incipient': (0.8949166590518839, 1.6827897959303468e-48), 'intensification': (0.8920408530456602, 8.348661801942205e-56), 'mature': (0.8719715047559051, 1.742391024485004e-52), 'decay': (0.7445029911696688, 5.248793447220425e-72), 'intensification 2': (0.8954029870750613, 6.112186128970076e-19), 'mature 2': (0.8324956353803242, 2.2422058886740978e-17), 'decay 2': (0.767833108725229, 4.93372770113494e-37)}",175.4432209850297,6.948557728052223e-256,"{'dunn':                1              2              3             4              5             6             7             8
1   1.000000e+00  5.192387e-276   7.211208e-50  3.251014e-09   8.801123e-24  1.314192e-06  3.900720e-03  1.000000e+00
2  5.192387e-276   1.000000e+00   0.000000e+00  0.000000e+00  9.936599e-147  1.198848e-91  5.128319e-13  1.836413e-78
3   7.211208e-50   0.000000e+00   1.000000e+00  1.015418e-11  6.578835e-139  1.000000e+00  5.659030e-15  3.022324e-20
4   3.251014e-09   0.000000e+00   1.015418e-11  1.000000e+00   6.666881e-55  2.155671e-01  1.586183e-07  7.381107e-06
5   8.801123e-24  9.936599e-147  6.578835e-139  6.666881e-55   1.000000e+00  5.005279e-20  1.000000e+00  1.447292e-03
6   1.314192e-06   1.198848e-91   1.000000e+00  2.155671e-01   5.005279e-20  1.000000e+00  2.162579e-09  6.244198e-07
7   3.900720e-03   5.128319e-13   5.659030e-15  1.586183e-07   1.000000e+00  2.162579e-09  1.000000e+00  1.947663e-01
8   1.000000e+00   1.836413e-78   3.022324e-20  7.381107e-06   1.447292e-03  6.244198e-07  1.947663e-01  1.000000e+00}"
RGz,Generation/Dissipation Terms,778.6694554709236,7.431872516683495e-164,"{'Total': (0.9046211958210808, 5.412186458533984e-54), 'incipient': (0.9300382763359087, 5.710376403586272e-42), 'intensification': (0.9157864316987584, 2.1216070572370603e-51), 'mature': (0.8950438647863653, 4.303125578996834e-49), 'decay': (0.8744925821611427, 4.169607086115851e-58), 'intensification 2': (0.8977683947433841, 9.990259611738479e-19), 'mature 2': (0.9189961148025636, 1.0869567648828466e-11), 'decay 2': (0.8796756904754227, 1.4512654043811653e-28)}",102.34234029219103,1.0887134356666839e-148,"{'dunn':               1             2              3             4              5             6             7             8
1  1.000000e+00  5.352306e-06   1.188231e-22  2.371120e-10   8.939275e-53  1.000000e+00  1.572704e-03  2.635936e-19
2  5.352306e-06  1.000000e+00   7.334470e-45  1.000000e+00   4.005311e-17  1.000000e+00  5.770590e-01  3.928891e-08
3  1.188231e-22  7.334470e-45   1.000000e+00  3.912143e-56  2.987290e-141  3.524395e-04  7.592077e-11  1.062132e-47
4  2.371120e-10  1.000000e+00   3.912143e-56  1.000000e+00   6.519829e-12  3.911534e-01  1.000000e+00  6.157426e-06
5  8.939275e-53  4.005311e-17  2.987290e-141  6.519829e-12   1.000000e+00  4.489654e-07  1.000000e+00  1.000000e+00
6  1.000000e+00  1.000000e+00   3.524395e-04  3.911534e-01   4.489654e-07  1.000000e+00  6.391403e-02  1.526917e-06
7  1.572704e-03  5.770590e-01   7.592077e-11  1.000000e+00   1.000000e+00  6.391403e-02  1.000000e+00  1.000000e+00
8  2.635936e-19  3.928891e-08   1.062132e-47  6.157426e-06   1.000000e+00  1.526917e-06  1.000000e+00  1.000000e+00}"
RKz,Generation/Dissipation Terms,36.8117184551367,5.091969543701839e-06,"{'Total': (0.9695191578775882, 1.2153120226904576e-35), 'incipient': (0.9613752944757092, 2.5944911484978472e-33), 'intensification': (0.9751078140993791, 1.71573946460328e-32), 'mature': (0.9669621975764858, 1.1150951298185074e-31), 'decay': (0.9542512576778257, 5.349733052745242e-41), 'intensification 2': (0.9821143228354804, 2.7034744814302734e-06), 'mature 2': (0.9634537666399187, 6.991577204439703e-07), 'decay 2': (0.9597863074216951, 5.281437831965511e-17)}",48.688754472203435,2.7833315578641994e-69,"{'dunn':           1         2         3         4         5         6         7         8
1  1.000000  0.924407  1.000000  0.043157  1.000000  0.477806  0.002195  0.256857
2  0.924407  1.000000  1.000000  1.000000  1.000000  1.000000  0.035299  1.000000
3  1.000000  1.000000  1.000000  0.126228  1.000000  0.685702  0.003352  0.437202
4  0.043157  1.000000  0.126228  1.000000  0.100612  1.000000  0.102616  1.000000
5  1.000000  1.000000  1.000000  0.100612  1.000000  0.626127  0.003017  0.384545
6  0.477806  1.000000  0.685702  1.000000  0.626127  1.000000  1.000000  1.000000
7  0.002195  0.035299  0.003352  0.102616  0.003017  1.000000  1.000000  0.619896
8  0.256857  1.000000  0.437202  1.000000  0.384545  1.000000  0.619896  1.000000}"
RGe,Generation/Dissipation Terms,851.7277414197583,1.2700554081106108e-179,"{'Total': (0.9363215791578399, 4.827254997649729e-47), 'incipient': (0.8897059222741079, 2.6091435112056073e-49), 'intensification': (0.9500092134088964, 9.274142108734978e-43), 'mature': (0.9233716033095614, 5.822395918772893e-44), 'decay': (0.8840167360989405, 1.172118516234949e-56), 'intensification 2': (0.9600624249090446, 4.350461853481882e-11), 'mature 2': (0.8904064735895206, 6.631574670059368e-14), 'decay 2': (0.858044275041654, 1.3808455050755463e-30)}",84.6011914015413,1.7725009484038145e-122,"{'dunn':               1              2              3             4             5             6         7             8
1  1.000000e+00   2.586064e-43   2.287172e-17  5.249075e-05  3.493650e-35  1.000000e+00  1.000000  7.345553e-16
2  2.586064e-43   1.000000e+00  3.175915e-105  1.034538e-65  3.189566e-01  4.694368e-12  0.073812  1.000000e+00
3  2.287172e-17  3.175915e-105   1.000000e+00  2.722095e-02  1.624660e-99  1.000000e+00  0.001106  3.214475e-38
4  5.249075e-05   1.034538e-65   2.722095e-02  1.000000e+00  1.145613e-57  1.000000e+00  0.070637  2.330122e-26
5  3.493650e-35   3.189566e-01   1.624660e-99  1.145613e-57  1.000000e+00  4.639933e-09  0.765096  1.000000e+00
6  1.000000e+00   4.694368e-12   1.000000e+00  1.000000e+00  4.639933e-09  1.000000e+00  0.910150  2.625671e-09
7  1.000000e+00   7.381181e-02   1.105891e-03  7.063745e-02  7.650964e-01  9.101502e-01  1.000000  1.308850e-01
8  7.345553e-16   1.000000e+00   3.214475e-38  2.330122e-26  1.000000e+00  2.625671e-09  0.130885  1.000000e+00}"
RKe,Generation/Dissipation Terms,1258.1900670817886,1.8383970962081495e-267,"{'Total': (0.905879407873385, 9.325928873223982e-54), 'incipient': (0.8450210605238129, 3.398688803706735e-55), 'intensification': (0.8872210805276378, 1.341955965147859e-56), 'mature': (0.886218055451998, 1.8594975695583796e-50), 'decay': (0.8449813707651679, 4.470233798886086e-62), 'intensification 2': (0.8837220521685792, 6.047235698526546e-20), 'mature 2': (0.8663337879860646, 1.777603504981719e-15), 'decay 2': (0.795616355672209, 2.664106079071324e-35)}",140.54097010130286,7.0344020263958344e-205,"{'dunn':               1             2              3              4              5             6             7             8
1  1.000000e+00  3.442651e-46   5.835849e-12   1.149655e-06   1.364009e-82  1.000000e+00  1.000000e+00  3.880183e-42
2  3.442651e-46  1.000000e+00   8.582741e-97   3.819071e-74   5.134614e-02  9.183923e-13  2.821907e-04  1.030200e-05
3  5.835849e-12  8.582741e-97   1.000000e+00   1.000000e+00  3.244982e-154  1.000000e+00  4.655650e-01  5.357174e-69
4  1.149655e-06  3.819071e-74   1.000000e+00   1.000000e+00  1.598528e-116  1.000000e+00  1.000000e+00  3.532558e-60
5  1.364009e-82  5.134614e-02  3.244982e-154  1.598528e-116   1.000000e+00  3.495937e-18  1.222718e-06  2.025217e-02
6  1.000000e+00  9.183923e-13   1.000000e+00   1.000000e+00   3.495937e-18  1.000000e+00  1.000000e+00  2.318736e-21
7  1.000000e+00  2.821907e-04   4.655650e-01   1.000000e+00   1.222718e-06  1.000000e+00  1.000000e+00  7.809278e-10
8  3.880183e-42  1.030200e-05   5.357174e-69   3.532558e-60   2.025217e-02  2.318736e-21  7.809278e-10  1.000000e+00}"
∂Az/∂t,Budgets,1044.74346531485,2.5839935636668263e-221,"{'Total': (0.9226597058590965, 2.521613278114535e-50), 'incipient': (0.93901958720215, 7.107711415001307e-40), 'intensification': (0.9341252400045478, 3.1506727436766687e-47), 'mature': (0.9025884534035409, 7.536444309002531e-48), 'decay': (0.8694558356216265, 7.774752775593973e-59), 'intensification 2': (0.8620008228868313, 1.2500661967973434e-21), 'mature 2': (0.9783507168075883, 0.00016159529319095096), 'decay 2': (0.9183146185209611, 4.097889104745552e-24)}",240.59784430764273,0.0,"{'dunn':               1             2              3             4              5             6             7             8
1  1.000000e+00  1.507578e-09   3.715057e-52  2.465031e-17   5.558335e-36  1.257142e-02  3.296315e-06  2.195480e-03
2  1.507578e-09  1.000000e+00   6.087248e-91  5.832868e-44   1.546773e-05  1.298969e-08  5.507052e-12  1.000000e+00
3  3.715057e-52  6.087248e-91   1.000000e+00  5.976165e-06  1.547674e-170  3.489309e-01  1.000000e+00  1.180688e-32
4  2.465031e-17  5.832868e-44   5.976165e-06  1.000000e+00   5.993491e-91  1.000000e+00  4.199106e-01  2.002826e-17
5  5.558335e-36  1.546773e-05  1.547674e-170  5.993491e-91   1.000000e+00  4.874585e-16  3.771528e-18  9.765975e-02
6  1.257142e-02  1.298969e-08   3.489309e-01  1.000000e+00   4.874585e-16  1.000000e+00  8.053498e-01  1.524630e-06
7  3.296315e-06  5.507052e-12   1.000000e+00  4.199106e-01   3.771528e-18  8.053498e-01  1.000000e+00  3.664609e-10
8  2.195480e-03  1.000000e+00   1.180688e-32  2.002826e-17   9.765975e-02  1.524630e-06  3.664609e-10  1.000000e+00}"
∂Ae/∂t,Budgets,1002.2900670537027,3.854581727899934e-212,"{'Total': (0.9069873570704472, 1.513450843549712e-53), 'incipient': (0.8510208593530871, 1.7062166427077714e-54), 'intensification': (0.9303485986019195, 3.6940976196046454e-48), 'mature': (0.9351409849571362, 2.3234585883440795e-41), 'decay': (0.8871773427848315, 3.7303954686159985e-56), 'intensification 2': (0.8738323141880008, 9.722741777138955e-21), 'mature 2': (0.8785801358630771, 1.0521006783089999e-14), 'decay 2': (0.8525225502492525, 4.60429732078755e-31)}",317.918676295222,0.0,"{'dunn':               1              2              3              4              5             6             7             8
1  1.000000e+00   1.598218e-12   7.339962e-18   1.071157e-74   6.935696e-07  7.873644e-14  1.318012e-07  3.328953e-06
2  1.598218e-12   1.000000e+00   1.000000e+00  7.007818e-124   4.251737e-01  1.352124e-04  6.075727e-15  1.000000e+00
3  7.339962e-18   1.000000e+00   1.000000e+00  9.161073e-154   2.368932e-02  3.140664e-04  6.020030e-16  1.000000e+00
4  1.071157e-74  7.007818e-124  9.161073e-154   1.000000e+00  3.012449e-119  4.919792e-53  1.000000e+00  8.624272e-54
5  6.935696e-07   4.251737e-01   2.368932e-02  3.012449e-119   1.000000e+00  3.312066e-07  1.884452e-12  6.202391e-01
6  7.873644e-14   1.352124e-04   3.140664e-04   4.919792e-53   3.312066e-07  1.000000e+00  8.920862e-21  1.647480e-02
7  1.318012e-07   6.075727e-15   6.020030e-16   1.000000e+00   1.884452e-12  8.920862e-21  1.000000e+00  5.450723e-14
8  3.328953e-06   1.000000e+00   1.000000e+00   8.624272e-54   6.202391e-01  1.647480e-02  5.450723e-14  1.000000e+00}"
∂Kz/∂t,Budgets,522.2228190560223,1.3347691297027301e-108,"{'Total': (0.9464948025929097, 3.35509329378264e-44), 'incipient': (0.9485799953696511, 2.3677378989685034e-37), 'intensification': (0.9638077537829899, 8.053190667772925e-38), 'mature': (0.9691443944258666, 8.971595685126062e-31), 'decay': (0.9480224928685866, 5.42652856162487e-43), 'intensification 2': (0.9434175718210162, 1.1583373540044517e-13), 'mature 2': (0.9780949596916414, 0.0001453001736122967), 'decay 2': (0.9482289075033364, 2.1937802566398373e-19)}",133.23608373490487,3.665166355365582e-194,"{'dunn':               1             2             3             4             5             6             7             8
1  1.000000e+00  1.104435e-05  1.924422e-02  7.875781e-50  1.172525e-02  1.490210e-02  6.255115e-15  1.000000e+00
2  1.104435e-05  1.000000e+00  1.528980e-14  1.542976e-74  1.000000e+00  7.784084e-07  4.890341e-21  1.000000e+00
3  1.924422e-02  1.528980e-14  1.000000e+00  2.839021e-31  1.857050e-10  9.092667e-01  1.557370e-11  1.189640e-01
4  7.875781e-50  1.542976e-74  2.839021e-31  1.000000e+00  5.291250e-72  9.542935e-02  2.345742e-02  2.385370e-20
5  1.172525e-02  1.000000e+00  1.857050e-10  5.291250e-72  1.000000e+00  3.644988e-05  6.928822e-19  1.000000e+00
6  1.490210e-02  7.784084e-07  9.092667e-01  9.542935e-02  3.644988e-05  1.000000e+00  1.135221e-04  8.993106e-03
7  6.255115e-15  4.890341e-21  1.557370e-11  2.345742e-02  6.928822e-19  1.135221e-04  1.000000e+00  4.535867e-14
8  1.000000e+00  1.000000e+00  1.189640e-01  2.385370e-20  1.000000e+00  8.993106e-03  4.535867e-14  1.000000e+00}"
∂Ke/∂t,Budgets,2967.9563852911324,0.0,"{'Total': (0.8973904744815355, 2.650862365976572e-55), 'incipient': (0.8930772748061376, 8.641089221739419e-49), 'intensification': (0.9211597717050484, 2.9142274092342315e-50), 'mature': (0.9498775183102871, 1.676357967117337e-37), 'decay': (0.9004586164229276, 6.636793543618842e-54), 'intensification 2': (0.9306005626200687, 2.5971725629776844e-15), 'mature 2': (0.9074068572024355, 1.2107264639224752e-12), 'decay 2': (0.9024080223573201, 4.1460847587690197e-26)}",312.9754689436557,0.0,"{'dunn':                1              2              3              4              5             6             7             8
1   1.000000e+00   8.521108e-40  1.908502e-101   5.321236e-53  2.132835e-137  2.983513e-02  8.727227e-04  1.520864e-19
2   8.521108e-40   1.000000e+00   6.600717e-08  1.229613e-154  8.143974e-281  3.562551e-01  8.607995e-16  6.047559e-62
3  1.908502e-101   6.600717e-08   1.000000e+00  2.482974e-267   0.000000e+00  8.476445e-06  3.303814e-24  1.887745e-95
4   5.321236e-53  1.229613e-154  2.482974e-267   1.000000e+00   3.578676e-12  4.754056e-21  1.000000e+00  1.000000e+00
5  2.132835e-137  8.143974e-281   0.000000e+00   3.578676e-12   1.000000e+00  1.063297e-37  3.523421e-02  1.240890e-03
6   2.983513e-02   3.562551e-01   8.476445e-06   4.754056e-21   1.063297e-37  1.000000e+00  1.448122e-06  1.940115e-16
7   8.727227e-04   8.607995e-16   3.303814e-24   1.000000e+00   3.523421e-02  1.448122e-06  1.000000e+00  1.000000e+00
8   1.520864e-19   6.047559e-62   1.887745e-95   1.000000e+00   1.240890e-03  1.940115e-16  1.000000e+00  1.000000e+00}"
